"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
draft_approval_letter_4,cgc_approval,,descriptive,"
Date of approval: [date_rank_4]

HREC Reference: [initial_applicatio_arm_1][ethics_reference]

[approval_num_text_2] [approval_list_agree_4] [approval_table_docs_4]
 ",,,,,,,"[datediff_rank_4] <> """"",,,,,,
approval_conditions_yn_4,cgc_approval,,yesno,"Are there any special conditions to include in this approval?",,,,,,,"[datediff_rank_4] <> """"",,RH,,,,
approval_conditions_4,cgc_approval,,notes,"Please outline",,,,,,,"[approval_conditions_yn_4] = '1'",,RH,,,,
approver_4,cgc_approval,,radio,"Approval given by","5, Clinical Governance Officer | 1, Clinical Governance Advisor | 2, Clinical Director | 3, Clinical Governance Committee | 4, Director",,,,,,"[datediff_rank_4] <> """"",,,,,,
send_approval_4,cgc_approval,,radio,"Send approval letter to Principal Investigator","1, YES - Send now | 2, NO - Manual letter sent",,,,,,"[datediff_rank_4] <> """"",,RH,,,,
approval_upload_4,cgc_approval,,file,"Please upload a copy of the approval letter",,,,,,,"[datediff_rank_4] <> """"",,,,,," @INLINE"
approval_comments_4,cgc_approval,,notes,"<div class=""rich-text-field-label""><p>Comments</p> <p><em><span style=""font-weight: normal;"">As required</span></em></p></div>",,,,,,,"[datediff_rank_4] <> """"",,,,,,
datediff_rank_5,cgc_approval,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">GOVERNANCE APPROVAL #5",calc,"5th ranked datediff","min(
  if([datediff_hrec_1] > [datediff_rank_4], [datediff_hrec_1], """"),
  if([datediff_protocol_1] > [datediff_rank_4], [datediff_protocol_1], """"),
  if([datediff_ib_1] > [datediff_rank_4], [datediff_ib_1], """"),
  if([datediff_ib_2] > [datediff_rank_4], [datediff_ib_2], """"),
  if([datediff_master_1] > [datediff_rank_4], [datediff_master_1], """"),
  if([datediff_master_2] > [datediff_rank_4], [datediff_master_2], """"),
  if([datediff_master_3] > [datediff_rank_4], [datediff_master_3], """"),
  if([datediff_master_4] > [datediff_rank_4], [datediff_master_4], """"),
  if([datediff_master_5] > [datediff_rank_4], [datediff_master_5], """"),
  if([datediff_master_6] > [datediff_rank_4], [datediff_master_6], """"),
  if([datediff_master_7] > [datediff_rank_4], [datediff_master_7], """"),
  if([datediff_master_8] > [datediff_rank_4], [datediff_master_8], """"),
  if([datediff_master_9] > [datediff_rank_4], [datediff_master_9], """"),
  if([datediff_master_10] > [datediff_rank_4], [datediff_master_10], """"),
  if([datediff_florey_1] > [datediff_rank_4], [datediff_florey_1], """"),
  if([datediff_florey_2] > [datediff_rank_4], [datediff_florey_2], """"),
  if([datediff_florey_3] > [datediff_rank_4], [datediff_florey_3], """"),
  if([datediff_florey_4] > [datediff_rank_4], [datediff_florey_4], """"),
  if([datediff_florey_5] > [datediff_rank_4], [datediff_florey_5], """"),
  if([datediff_florey_6] > [datediff_rank_4], [datediff_florey_6], """"),
  if([datediff_florey_7] > [datediff_rank_4], [datediff_florey_7], """"),
  if([datediff_florey_8] > [datediff_rank_4], [datediff_florey_8], """"),
  if([datediff_florey_9] > [datediff_rank_4], [datediff_florey_9], """"),
  if([datediff_florey_10] > [datediff_rank_4], [datediff_florey_10], """"),
  if([datediff_other_1] > [datediff_rank_4], [datediff_other_1], """"),
  if([datediff_other_2] > [datediff_rank_4], [datediff_other_2], """"),
  if([datediff_other_3] > [datediff_rank_4], [datediff_other_3], """"),
  if([datediff_other_4] > [datediff_rank_4], [datediff_other_4], """"),
  if([datediff_other_5] > [datediff_rank_4], [datediff_other_5], """"),
  if([datediff_other_6] > [datediff_rank_4], [datediff_other_6], """"),
  if([datediff_other_7] > [datediff_rank_4], [datediff_other_7], """"),
  if([datediff_other_8] > [datediff_rank_4], [datediff_other_8], """"),
  if([datediff_other_9] > [datediff_rank_4], [datediff_other_9], """"),
  if([datediff_other_10] > [datediff_rank_4], [datediff_other_10], """"),
  if([datediff_other_11] > [datediff_rank_4], [datediff_other_11], """"),
  if([datediff_other_12] > [datediff_rank_4], [datediff_other_12], """"),
  if([datediff_other_13] > [datediff_rank_4], [datediff_other_13], """"),
  if([datediff_other_14] > [datediff_rank_4], [datediff_other_14], """"),
  if([datediff_other_15] > [datediff_rank_4], [datediff_other_15], """"),
  if([datediff_other_16] > [datediff_rank_4], [datediff_other_16], """"),
  if([datediff_other_17] > [datediff_rank_4], [datediff_other_17], """"),
  if([datediff_other_18] > [datediff_rank_4], [datediff_other_18], """"),
  if([datediff_other_19] > [datediff_rank_4], [datediff_other_19], """"),
  if([datediff_other_20] > [datediff_rank_4], [datediff_other_20], """"),
  if([datediff_other_21] > [datediff_rank_4], [datediff_other_21], """"),
  if([datediff_other_22] > [datediff_rank_4], [datediff_other_22], """"),
  if([datediff_other_23] > [datediff_rank_4], [datediff_other_23], """"),
  if([datediff_other_24] > [datediff_rank_4], [datediff_other_24], """"),
  if([datediff_other_25] > [datediff_rank_4], [datediff_other_25], """"),
  if([datediff_other_26] > [datediff_rank_4], [datediff_other_26], """"),
  if([datediff_other_27] > [datediff_rank_4], [datediff_other_27], """"),
  if([datediff_other_28] > [datediff_rank_4], [datediff_other_28], """"),
  if([datediff_other_29] > [datediff_rank_4], [datediff_other_29], """"),
  if([datediff_other_30] > [datediff_rank_4], [datediff_other_30], """"),
  if([datediff_sponsor] > [datediff_rank_4], [datediff_sponsor], """"),
  if([datediff_au_1] > [datediff_rank_4], [datediff_au_1], """"),
  if([datediff_au_2] > [datediff_rank_4], [datediff_au_2], """"),
  if([datediff_au_3] > [datediff_rank_4], [datediff_au_3], """"),
  if([datediff_au_4] > [datediff_rank_4], [datediff_au_4], """"),
  if([datediff_au_5] > [datediff_rank_4], [datediff_au_5], """"),
  if([datediff_au_6] > [datediff_rank_4], [datediff_au_6], """"),
  if([datediff_au_7] > [datediff_rank_4], [datediff_au_7], """"),
  if([datediff_au_8] > [datediff_rank_4], [datediff_au_8], """"),
  if([datediff_au_9] > [datediff_rank_4], [datediff_au_9], """"),
  if([datediff_au_10] > [datediff_rank_4], [datediff_au_10], """"),
  if([datediff_au_11] > [datediff_rank_4], [datediff_au_11], """"),
  if([datediff_au_12] > [datediff_rank_4], [datediff_au_12], """"),
  if([datediff_au_13] > [datediff_rank_4], [datediff_au_13], """"),
  if([datediff_au_14] > [datediff_rank_4], [datediff_au_14], """"),
  if([datediff_au_15] > [datediff_rank_4], [datediff_au_15], """"),
  if([datediff_oseas_1] > [datediff_rank_4], [datediff_oseas_1], """"),
  if([datediff_oseas_2] > [datediff_rank_4], [datediff_oseas_2], """"),
  if([datediff_oseas_3] > [datediff_rank_4], [datediff_oseas_3], """"),
  if([datediff_oseas_4] > [datediff_rank_4], [datediff_oseas_4], """"),
  if([datediff_oseas_5] > [datediff_rank_4], [datediff_oseas_5], """"),
  if([datediff_oseas_6] > [datediff_rank_4], [datediff_oseas_6], """"),
  if([datediff_oseas_7] > [datediff_rank_4], [datediff_oseas_7], """"),
  if([datediff_oseas_8] > [datediff_rank_4], [datediff_oseas_8], """"),
  if([datediff_oseas_9] > [datediff_rank_4], [datediff_oseas_9], """"),
  if([datediff_oseas_10] > [datediff_rank_4], [datediff_oseas_10], """"),
  if([datediff_oseas_11] > [datediff_rank_4], [datediff_oseas_11], """"),
  if([datediff_oseas_12] > [datediff_rank_4], [datediff_oseas_12], """"),
  if([datediff_oseas_13] > [datediff_rank_4], [datediff_oseas_13], """"),
  if([datediff_oseas_14] > [datediff_rank_4], [datediff_oseas_14], """"),
  if([datediff_oseas_15] > [datediff_rank_4], [datediff_oseas_15], """"),
  if([datediff_othent_1] > [datediff_rank_4], [datediff_othent_1], """"),
  if([datediff_othent_2] > [datediff_rank_4], [datediff_othent_2], """"),
  if([datediff_othent_3] > [datediff_rank_4], [datediff_othent_3], """"),
  if([datediff_othent_4] > [datediff_rank_4], [datediff_othent_4], """"),
  if([datediff_othent_5] > [datediff_rank_4], [datediff_othent_5], """"),
  if([datediff_othent_6] > [datediff_rank_4], [datediff_othent_6], """"),
  if([datediff_othent_7] > [datediff_rank_4], [datediff_othent_7], """"),
  if([datediff_othent_8] > [datediff_rank_4], [datediff_othent_8], """"),
  if([datediff_othent_9] > [datediff_rank_4], [datediff_othent_9], """"),
  if([datediff_othent_10] > [datediff_rank_4], [datediff_othent_10], """"),
  if([datediff_othent_11] > [datediff_rank_4], [datediff_othent_11], """"),
  if([datediff_othent_12] > [datediff_rank_4], [datediff_othent_12], """"),
  if([datediff_othent_13] > [datediff_rank_4], [datediff_othent_13], """"),
  if([datediff_othent_14] > [datediff_rank_4], [datediff_othent_14], """"),
  if([datediff_othent_15] > [datediff_rank_4], [datediff_othent_15], """")
)",,,,,,,,,,,," @HIDDEN"
date_rank_5,cgc_approval,,text,"5th ranked date of approval",,,date_dmy,,,,,,,,,," @CALCDATE([comparison_date], [datediff_rank_5], 'd')
@HIDDEN"
approval_list_au_5,cgc_approval,,text,"List of approved Australian Participating Sites",,,,,,,"[datediff_rank_5] <> """" and (
  [datediff_au_1] = [datediff_rank_5] or
  [datediff_au_2] = [datediff_rank_5] or
  [datediff_au_3] = [datediff_rank_5] or
  [datediff_au_4] = [datediff_rank_5] or
  [datediff_au_5] = [datediff_rank_5] or
  [datediff_au_6] = [datediff_rank_5] or
  [datediff_au_7] = [datediff_rank_5] or
  [datediff_au_8] = [datediff_rank_5] or
  [datediff_au_9] = [datediff_rank_5] or
  [datediff_au_10] = [datediff_rank_5] or
  [datediff_au_11] = [datediff_rank_5] or
  [datediff_au_12] = [datediff_rank_5] or
  [datediff_au_13] = [datediff_rank_5] or
  [datediff_au_14] = [datediff_rank_5] or
  [datediff_au_15] = [datediff_rank_5]
)",,,,,," @CALCTEXT(
  if([datediff_rank_5] <> """",
    concat(
      if([datediff_au_1] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_12]), """"),
      if([datediff_au_2] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_22]), """"),
      if([datediff_au_3] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_32]), """"),
      if([datediff_au_4] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_42]), """"),
      if([datediff_au_5] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_52]), """"),
      if([datediff_au_6] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_62]), """"),
      if([datediff_au_7] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_72]), """"),
      if([datediff_au_8] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_82]), """"),
      if([datediff_au_9] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_92]), """"),
      if([datediff_au_10] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_102]), """"),
      if([datediff_au_11] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_112]), """"),
      if([datediff_au_12] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_122]), """"),
      if([datediff_au_13] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_132]), """"),
      if([datediff_au_14] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_142]), """"),
      if([datediff_au_15] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_au_152]), """")
    ),
    """"
  )
)
@HIDDEN"
approval_list_oseas_5,cgc_approval,,text,"List of approved Countries",,,,,,,"[datediff_rank_5] <> """" and (
  [datediff_oseas_1] = [datediff_rank_5] or
  [datediff_oseas_2] = [datediff_rank_5] or
  [datediff_oseas_3] = [datediff_rank_5] or
  [datediff_oseas_4] = [datediff_rank_5] or
  [datediff_oseas_5] = [datediff_rank_5] or
  [datediff_oseas_6] = [datediff_rank_5] or
  [datediff_oseas_7] = [datediff_rank_5] or
  [datediff_oseas_8] = [datediff_rank_5] or
  [datediff_oseas_9] = [datediff_rank_5] or
  [datediff_oseas_10] = [datediff_rank_5] or
  [datediff_oseas_11] = [datediff_rank_5] or
  [datediff_oseas_12] = [datediff_rank_5] or
  [datediff_oseas_13] = [datediff_rank_5] or
  [datediff_oseas_14] = [datediff_rank_5] or
  [datediff_oseas_15] = [datediff_rank_5]
)",,,,,," @CALCTEXT(
  if([datediff_rank_5] <> """",
    concat(
      if([datediff_oseas_1] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_12], "" ("", [initial_applicatio_arm_1][country_oseas_12], "")""), """"),
      if([datediff_oseas_2] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_22], "" ("", [initial_applicatio_arm_1][country_oseas_22], "")""), """"),
      if([datediff_oseas_3] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_32], "" ("", [initial_applicatio_arm_1][country_oseas_32], "")""), """"),
      if([datediff_oseas_4] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_42], "" ("", [initial_applicatio_arm_1][country_oseas_42], "")""), """"),
      if([datediff_oseas_5] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_52], "" ("", [initial_applicatio_arm_1][country_oseas_52], "")""), """"),
      if([datediff_oseas_6] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_62], "" ("", [initial_applicatio_arm_1][country_oseas_62], "")""), """"),
      if([datediff_oseas_7] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_72], "" ("", [initial_applicatio_arm_1][country_oseas_72], "")""), """"),
      if([datediff_oseas_8] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_82], "" ("", [initial_applicatio_arm_1][country_oseas_82], "")""), """"),
      if([datediff_oseas_9] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_92], "" ("", [initial_applicatio_arm_1][country_oseas_92], "")""), """"),
      if([datediff_oseas_10] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_102], "" ("", [initial_applicatio_arm_1][country_oseas_102], "")""), """"),
      if([datediff_oseas_11] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_112], "" ("", [initial_applicatio_arm_1][country_oseas_112], "")""), """"),
      if([datediff_oseas_12] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_122], "" ("", [initial_applicatio_arm_1][country_oseas_122], "")""), """"),
      if([datediff_oseas_13] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_132], "" ("", [initial_applicatio_arm_1][country_oseas_132], "")""), """"),
      if([datediff_oseas_14] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_142], "" ("", [initial_applicatio_arm_1][country_oseas_142], "")""), """"),
      if([datediff_oseas_15] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_oseas_152], "" ("", [initial_applicatio_arm_1][country_oseas_152], "")""), """")
    ),
    """"
  )
)
@HIDDEN"
approval_list_othent_5,cgc_approval,,text,"List of approved Other Entities",,,,,,,"[datediff_rank_5] <> """" and (
  [datediff_othent_1] = [datediff_rank_5] or
  [datediff_othent_2] = [datediff_rank_5] or
  [datediff_othent_3] = [datediff_rank_5] or
  [datediff_othent_4] = [datediff_rank_5] or
  [datediff_othent_5] = [datediff_rank_5] or
  [datediff_othent_6] = [datediff_rank_5] or
  [datediff_othent_7] = [datediff_rank_5] or
  [datediff_othent_8] = [datediff_rank_5] or
  [datediff_othent_9] = [datediff_rank_5] or
  [datediff_othent_10] = [datediff_rank_5] or
  [datediff_othent_11] = [datediff_rank_5] or
  [datediff_othent_12] = [datediff_rank_5] or
  [datediff_othent_13] = [datediff_rank_5] or
  [datediff_othent_14] = [datediff_rank_5] or
  [datediff_othent_15] = [datediff_rank_5]
)",,,,,," @CALCTEXT(
  if([datediff_rank_5] <> """",
    concat(
      if([datediff_othent_1] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_12], "" ("", [country_othent_text_1], "")""), """"),
      if([datediff_othent_2] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_22], "" ("", [country_othent_text_2], "")""), """"),
      if([datediff_othent_3] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_32], "" ("", [country_othent_text_3], "")""), """"),
      if([datediff_othent_4] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_42], "" ("", [country_othent_text_4], "")""), """"),
      if([datediff_othent_5] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_52], "" ("", [country_othent_text_5], "")""), """"),
      if([datediff_othent_6] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_62], "" ("", [country_othent_text_6], "")""), """"),
      if([datediff_othent_7] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_72], "" ("", [country_othent_text_7], "")""), """"),
      if([datediff_othent_8] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_82], "" ("", [country_othent_text_8], "")""), """"),
      if([datediff_othent_9] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_92], "" ("", [country_othent_text_9], "")""), """"),
      if([datediff_othent_10] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_102], "" ("", [country_othent_text_10], "")""), """"),
      if([datediff_othent_11] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_112], "" ("", [country_othent_text_11], "")""), """"),
      if([datediff_othent_12] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_122], "" ("", [country_othent_text_12], "")""), """"),
      if([datediff_othent_13] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_132], "" ("", [country_othent_text_13], "")""), """"),
      if([datediff_othent_14] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_142], "" ("", [country_othent_text_14], "")""), """"),
      if([datediff_othent_15] = [datediff_rank_5], concat(""<br>"", [initial_applicatio_arm_1][entity_othent_152], "" ("", [country_othent_text_15], "")""), """")
    ),
    """"
  )
)
@HIDDEN"
approval_list_agree_5,cgc_approval,,text,"Branched approval list",,,,,,,,,,,,," @CALCTEXT(
if([datediff_rank_5] <> """",
  concat(

    /* ---------- AUSTRALIAN SITES (exclusive first match) ---------- */
    if([datediff_au_1] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_2] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_3] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_4] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_5] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_6] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_7] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_8] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_9] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_10] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_11] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_12] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_13] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_14] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
    if([datediff_au_15] = [datediff_rank_5],
      concat(""<br><br>The study has been approved to proceed at the following Australian sites:"", [approval_list_au_5]),
      """"
    ))))))))))))))),

    /* ---------- INTERNATIONAL ENTITIES (exclusive first match) ---------- */
    if([datediff_oseas_1] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_2] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_3] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_4] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_5] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_6] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_7] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_8] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_9] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_10] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_11] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_12] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_13] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_14] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
    if([datediff_oseas_15] = [datediff_rank_5],
      concat(""<br><br>The study has been approved for conduct with the following international entities:"", [approval_list_oseas_5]),
      """"
    ))))))))))))))),

    /* ---------- OTHER ENTITIES (exclusive first match) ---------- */
    if([datediff_othent_1] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_2] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_3] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_4] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_5] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_6] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_7] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_8] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_9] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_10] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_11] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_12] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_13] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_14] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
    if([datediff_othent_15] = [datediff_rank_5],
      concat(""<br><br>Approval has been granted to engage with the following other entities, as per executed agreements:"", [approval_list_othent_5]),
      """"
    )))))))))))))))

  ),
  "" ""
)
)
@HIDDEN"
